Zhongyang He
Joe Hoover
Anand Sahasranaman
Nicholas Perello
Jonghyun Lee
Amineh Ghorbani
André Grow
Henri Kauhanen
Fernando Diaz
Mykola Makhortykh
Kunwoo Park
Alper Özbilen
Jule Scheper
Ayush K. Rai
Roy Lay-Yee
Masha Krupenkin
Florian Wanders
Anahit Sargsyan
Frederic Heaume
David Dekker
Joyce Delnoij
Ádám Kovács
Emma Brunskill
Pierre Boyer
Kathleen Carley
Cameron Taylor
Xiao Yang
Minali Aggarwal
Xiang Ren
David Mimno
Ethan Bernstein
Maurice Jakesch
Aleksandra Urman
Shimpei Okuda
James Gross
Kleber A. Oliveira
Tatiana Trifonova
Eunseo Choi
Flaminio Squazzoni
Walid Magdy
Francesca Chiaromonte
Ryen W White
Mohsen Mosleh
Dan Jurafsky
Daniel C. Fehder
Jimmy Peng
Felix Soldner
Amelia Hassoun
Matthew Groh
Paolo Parigi
Haylee Ham
Christopher Danforth
Alexander Brand
Jianyin Roachell
Masahiro Kazama
Markus Hadler
Jens Wäckerle
Derek Greene
Antonio Arechar
Sara Mesquita
Xiaoyu Zhang
Dong Nguyen
Felipe Montes
Anna Koufakou
Haochen Liu
Jieyu Ding
Anna Molnár
Timofey Yalov
Adrian Weller
Chris Riedl
David Bartl
Firman Firmansyah
Alireza Javadian Sabet
Margaret McConnell
Alexandra Pang
Elahe Naserian
Valeria D'Andrea
Hongwei Peng
Anna Shirokanova
Isak Ladegaard
Anupama Aggarwal
André Panisson
Brett Bourbon
Kimmo Eriksson
Ivan Garibay
Adriana Iamnitchi
Marie Lindegaard
Marta C. Gonzalez
Jiri Mazurek
Talal Rahwan
Pik-mai Hui
Fan Zhang
Nicholas Johnson-restrepo
Ivan Yamshchikov
Aram Galstyan
Akira Matsui
Leo Bauer
Alex Rutherford
Lillio Mok
Alberto Sánchez-Carralero
Jodi Basner
Francisco Gómez
Prof Levene
Nathan Hughes
Armin Pournaki
Hannah Weinberg-wolf
Akshay Aravamudan
Anna Keuchenius
Yeol Ahn
Filipi Silva
Josep Perello
Jennifer Fest
Reid Mcilroy-young
Joachim Piepenburg
Hugo Contreras
Michael Schaub
Richard Mole
Arie Wijayanto
Sofia Dokuka
Simone Righi
Rosa Alberto
Jaeryoung Ka
Lijun Sun
Alexandru Cernat
Babak Heydari
Till Hoffmann
Naseem Makiya
Sunje Paasch-colberg
Gloria Wai Shan Ma
James Gleeson
Alex ‘Sandy’ Pentland
Alessandro Rosina
Marta Rivera-Alba
Chang-young Oh
Tiziano Piccardi
Hirokazu Shirado
Daniel Mcfarland
Christos Nicolaides
Inho Hong
Yifang Ma
Jan Laan
Ruilin Chen
N'Godjigui Junior Diarrassouba
Daniel Haberly
Masashi Miura
Qian Liu
Madhav Joshi
Etienne Lesot
Yphtach Lelkes
Hunter Heidenreich
Huei-Yen Chen
Forrest Hangen
Maria Bolsinova
Oliver Wieczorek
Jon Mcphetres
Marco Nadai
Samuel Mueller
Johannes Breuer
Jaime Teevan
Lorenzo Gabrielli
Giovanni Luca Ciampaglia
Fabian Flöck
Paul Expert
Isabella Loaiza
Yulia Tsvetkov
Manal Saadi
Dino Pedreschi
Launy Schweiger
Milan van den Heuvel
Trivik Verma
Paramveer Dhillon
Tim A Majchrzak
Ali Jadbabaie
Bernd Irlenbusch
Je Hoon Chae
Gianmarco De Francisci Morales
Gianluca Stringhini
David Liu
Alberto Cottica
Isabella Czedik-eysenberg
Cuihua Shen
Eckehard Olbrich
Elizaveta Sivak
